forecast_step,week_start,store_id,cat_id,predicted_units_sold,predicted_units_sold_rounded
3,2016-06-06,TX_2,FOODS,19483.03185714287,19483
3,2016-06-06,TX_2,HOBBIES,2904.3249682539686,2904
3,2016-06-06,TX_2,HOUSEHOLD,6814.486436507937,6814
3,2016-06-06,TX_3,FOODS,19987.036042328047,19987
3,2016-06-06,TX_3,HOBBIES,2895.164023809524,2895
3,2016-06-06,TX_3,HOUSEHOLD,7052.889783068785,7053
3,2016-06-06,WI_1,FOODS,21160.785410052908,21161
3,2016-06-06,WI_1,HOBBIES,2922.621992063492,2923
3,2016-06-06,WI_1,HOUSEHOLD,5449.324222222225,5449
3,2016-06-06,WI_2,FOODS,32540.547285714292,32541
3,2016-06-06,WI_2,HOBBIES,2029.31552910053,2029
3,2016-06-06,WI_2,HOUSEHOLD,7103.577589947089,7104
3,2016-06-06,WI_3,FOODS,23165.271047619044,23165
3,2016-06-06,WI_3,HOBBIES,2022.9910798460812,2023
3,2016-06-06,WI_3,HOUSEHOLD,5718.145050264551,5718
4,2016-06-13,CA_1,FOODS,22817.66738095238,22818
4,2016-06-13,CA_1,HOBBIES,3795.098288359788,3795
4,2016-06-13,CA_1,HOUSEHOLD,6825.678349206349,6826
4,2016-06-13,CA_2,FOODS,22064.114523809534,22064
4,2016-06-13,CA_2,HOBBIES,3185.2859285714294,3185
4,2016-06-13,CA_2,HOUSEHOLD,8838.473992063497,8838
4,2016-06-13,CA_3,FOODS,27251.51550793651,27252
4,2016-06-13,CA_3,HOBBIES,4229.912161856664,4230
4,2016-06-13,CA_3,HOUSEHOLD,12339.90076190476,12340
4,2016-06-13,CA_4,FOODS,13797.042179894182,13797
4,2016-06-13,CA_4,HOBBIES,2870.9258730158735,2871
4,2016-06-13,CA_4,HOUSEHOLD,4298.108301587302,4298
4,2016-06-13,TX_1,FOODS,16564.89976719577,16565
4,2016-06-13,TX_1,HOBBIES,2117.3332222222225,2117
4,2016-06-13,TX_1,HOUSEHOLD,6924.778976190478,6925
4,2016-06-13,TX_2,FOODS,19598.74097354497,19599
4,2016-06-13,TX_2,HOBBIES,2880.468111111111,2880
4,2016-06-13,TX_2,HOUSEHOLD,6806.294523809523,6806
4,2016-06-13,TX_3,FOODS,19673.257465608458,19673
4,2016-06-13,TX_3,HOBBIES,2900.057666666666,2900
4,2016-06-13,TX_3,HOUSEHOLD,7125.4148015873025,7125
4,2016-06-13,WI_1,FOODS,20289.16196560846,20289
4,2016-06-13,WI_1,HOBBIES,2965.9841507936508,2966
4,2016-06-13,WI_1,HOUSEHOLD,5467.852391534392,5468
4,2016-06-13,WI_2,FOODS,25583.26697089947,25583
4,2016-06-13,WI_2,HOBBIES,2033.405648148149,2033
4,2016-06-13,WI_2,HOUSEHOLD,7268.617634920636,7269
4,2016-06-13,WI_3,FOODS,21569.086351851856,21569
4,2016-06-13,WI_3,HOBBIES,1995.9558311688313,1996
4,2016-06-13,WI_3,HOUSEHOLD,5753.113552910053,5753
